,BROWN,GREEN,HYAC,LETTUCE,LILY,LOTUS,Moonvine,WATER,ROAD,OTHER,Total,Producer Accuracy
BROWN,18,0,2,5,7,15,0,1,0,0,48,37.50
GREEN,4,36,4,0,3,4,0,1,0,0,52,69.23
HYAC,2,12,30,9,0,2,0,0,0,0,55,54.55
LETTUCE,6,0,8,7,1,5,0,0,0,0,27,25.93
LILY,1,7,5,3,5,2,0,2,0,0,25,20.00
LOTUS,4,0,3,0,2,43,1,4,0,0,57,75.44
Moonvine,0,0,1,0,0,1,19,0,0,0,21,90.48
WATER,0,4,3,1,0,14,0,53,4,0,79,67.09
ROAD,0,0,0,0,0,0,0,0,1,0,1,100.00
OTHER,0,8,0,0,0,0,0,0,0,0,8,0.00
Total,35,67,56,25,18,86,20,61,5,0,373,
User accuracy,51.43,53.73,53.57,28.00,27.78,50.00,95.00,86.89,20.00,100.00,Overall Accuracy,56.84
,,,,,,,,,,,,
,,,,212,,,,,,,,
,,,,0.568364611,,,,,,,,
